SentrixBarcode_A	SentrixPosition_A	Sample_Group	hd_id	gw_id
5460461110	R02C01	HG00403	5460461110_R02C01.txt	gw6.HG00403
5460479022	R04C01	HG01383	5460479022_R04C01.txt	gw6.HG01383
6298021076	R02C01	HG01804	6298021076_R02C01.txt	gw6.HG01804
5460461016	R03C01	NA20314	5460461016_R03C01.txt	gw6.NA20314
5460461098	R01C01	NA18609	5460461098_R01C01.txt	gw6.NA18609
5434246030	R04C01	HG00344	5434246030_R04C01.txt	gw6.HG00344
5434203046	R01C01	NA18502	5434203046_R01C01.txt	gw6.NA18502
5434078104	R01C01	NA18519	5434078104_R01C01.txt	gw6.NA18519
5434078005	R02C01	HG00259	5434078005_R02C01.txt	gw6.HG00259
5434078117	R04C01	NA12827	5434078117_R04C01.txt	gw6.NA12827
5434203034	R02C01	HG00276	5434203034_R02C01.txt	gw6.HG00276
6268201099	R01C01	HG02035	6268201099_R01C01.txt	gw6.HG02035
5434246014	R04C01	NA06986	5434246014_R04C01.txt	gw6.NA06986
5434246044	R02C01	NA19669	5434246044_R02C01.txt	gw6.NA19669
5528550055	R02C01	NA18939	5528550055_R02C01.txt	gw6.NA18939
5528550079	R02C01	NA19445	5528550079_R02C01.txt	gw6.NA19445
5767770116	R03C01	NA20904	5767770116_R03C01.txt	gw6.NA20904
5460444004	R03C01	HG01613	5460444004_R03C01.txt	gw6.HG01613
6298012108	R04C01	HG01678	6298012108_R04C01.txt	gw6.HG01678
5885371028	R03C01	NA20859	5885371028_R03C01.txt	gw6.NA20859
5434246080	R03C01	HG00581	5434246080_R03C01.txt	gw6.HG00581
5460461017	R01C01	NA18983	5460461017_R01C01.txt	gw6.NA18983
5434246024	R02C01	NA18988	5434246024_R02C01.txt	gw6.NA18988
5426511011	R04C01	NA18526	5426511011_R04C01.txt	gw6.NA18526
5460479106	R03C01	NA19031	5460479106_R03C01.txt	gw6.NA19031
6298021085	R02C01	NA21104	6298021085_R02C01.txt	gw6.NA21104
6288236027	R04C01	HG00978	6288236027_R04C01.txt	gw6.HG00978
5434246054	R02C01	HG00335	5434246054_R02C01.txt	gw6.HG00335
5767788010	R04C01	NA20894	5767788010_R04C01.txt	gw6.NA20894
5443767148	R04C01	HG00334	5443767148_R04C01.txt	gw6.HG00334
5434246078	R04C01	HG01205	5434246078_R04C01.txt	gw6.HG01205
5767770139	R03C01	NA20903	5767770139_R03C01.txt	gw6.NA20903
5460461111	R01C01	HG00372	5460461111_R01C01.txt	gw6.HG00372
5434078077	R03C01	NA19654	5434078077_R03C01.txt	gw6.NA19654
5460479114	R04C01	NA18511	5460479114_R04C01.txt	gw6.NA18511
5460461184	R04C01	NA11894	5460461184_R04C01.txt	gw6.NA11894
6298021065	R01C01	HG00864	6298021065_R01C01.txt	gw6.HG00864
5460461016	R01C01	NA12249	5460461016_R01C01.txt	gw6.NA12249
6298021074	R01C01	HG01914	6298021074_R01C01.txt	gw6.HG01914
5460479059	R01C01	NA20294	5460479059_R01C01.txt	gw6.NA20294
5460444004	R01C01	HG01615	5460444004_R01C01.txt	gw6.HG01615
5460461036	R03C01	HG01437	5460461036_R03C01.txt	gw6.HG01437
5460479027	R03C01	NA19678	5460479027_R03C01.txt	gw6.NA19678
5426511011	R02C01	NA19664	5426511011_R02C01.txt	gw6.NA19664
6268201006	R04C01	HG00881	6268201006_R04C01.txt	gw6.HG00881
5426529071	R03C01	NA20809	5426529071_R03C01.txt	gw6.NA20809
5767788127	R04C01	NA21117	5767788127_R04C01.txt	gw6.NA21117
5434203126	R02C01	HG00557	5434203126_R02C01.txt	gw6.HG00557
5826320114	R01C01	NA21108	5826320114_R01C01.txt	gw6.NA21108
5460444004	R04C01	HG01610	5460444004_R04C01.txt	gw6.HG01610
5434203128	R02C01	NA12058	5434203128_R02C01.txt	gw6.NA12058
5443767015	R03C01	HG01619	5443767015_R03C01.txt	gw6.HG01619
5460461103	R04C01	HG01384	5460461103_R04C01.txt	gw6.HG01384
5434078081	R04C01	NA12716	5434078081_R04C01.txt	gw6.NA12716
